,yspall,log10_phi0,eta,Dcj
r60um_tpl001,0.0015305489696459,-3.6774970382338377,0.0002803984650492,'70.0 percentile dcj 0.879 cm us**-1'
r60um_tpl002,0.0020710158871222,-3.674664311407602,0.0005702309941107,'70.0 percentile dcj 0.879 cm us**-1'
r60um_tpl003,0.0033450796086656,-3.394279315457452,0.000569665703231,'85.0 percentile dcj 0.881 cm us**-1'
r60um_tpl004,0.0048485877752407,-3.151066530498092,0.00068002009082,'70.0 percentile dcj 0.879 cm us**-1'
r60um_tpl005,0.0006335377089879,-3.4384012847842182,0.0003496578407041,'40.0 percentile dcj 0.877 cm us**-1'
r60um_tpl006,0.0007860088129259,-2.8656162395597735,0.0008527691180703,'75.0 percentile dcj 0.880 cm us**-1'
r60um_tpl007,0.0020860672071208,-2.6459837923523764,0.0007343681579708,'75.0 percentile dcj 0.880 cm us**-1'
r60um_tpl008,0.0015659160200917,-3.624502830817936,0.0006507722983921,'80.0 percentile dcj 0.881 cm us**-1'
r60um_tpl009,0.0034138965625404,-2.7821453787743904,0.000367639934033,'40.0 percentile dcj 0.877 cm us**-1'
r60um_tpl010,0.002449644760282,-3.3727599677100266,0.0003066171810163,'80.0 percentile dcj 0.881 cm us**-1'
r60um_tpl011,0.0042546009127903,-2.5721383870167824,0.0002867036464002,'40.0 percentile dcj 0.877 cm us**-1'
r60um_tpl012,0.0028111331914572,-3.173384780830646,0.0009957901759383,'60.0 percentile dcj 0.879 cm us**-1'
r60um_tpl013,0.0033532926912843,-3.482397392483038,0.0004405960812567,'55.0 percentile dcj 0.878 cm us**-1'
r60um_tpl014,0.0030398135158533,-3.5837134721560684,0.0006732055168235,'75.0 percentile dcj 0.880 cm us**-1'
r60um_tpl015,0.0032842517081651,-2.9551036329529654,0.0008256794850323,'75.0 percentile dcj 0.880 cm us**-1'
r60um_tpl016,0.0038976502819453,-3.6342782850634,0.000523220194048,'80.0 percentile dcj 0.881 cm us**-1'
r60um_tpl017,0.0019019156078687,-3.493616639758899,0.0005833450534773,'80.0 percentile dcj 0.881 cm us**-1'
r60um_tpl018,0.0036949415964408,-3.7842185504422834,0.0003360712789347,'80.0 percentile dcj 0.881 cm us**-1'
r60um_tpl019,0.0023503138001709,-3.0981325780225366,0.0005748192602312,'45.0 percentile dcj 0.877 cm us**-1'
r60um_tpl020,0.0021647350811253,-3.0210111234780284,0.000592984262894,'85.0 percentile dcj 0.881 cm us**-1'
r60um_tpl021,0.0046755567291633,-2.71298592751027,0.0009156651554126,'90.0 percentile dcj 0.882 cm us**-1'
r60um_tpl022,0.0034186528921554,-2.49973063821077,0.0009201456775613,'85.0 percentile dcj 0.881 cm us**-1'
r60um_tpl023,0.0013640509914302,-3.261661191540786,0.0009252736218028,'90.0 percentile dcj 0.882 cm us**-1'
r60um_tpl024,0.0041238222586579,-3.2876770237845587,0.000701343470333,'50.0 percentile dcj 0.878 cm us**-1'
r60um_tpl025,0.0028206923736475,-3.0028283024195805,0.0006931787052338,'45.0 percentile dcj 0.877 cm us**-1'
r60um_tpl026,0.0010881799895491,-3.2019914434745584,0.0005200941794545,'45.0 percentile dcj 0.877 cm us**-1'
r60um_tpl027,0.0017563323855442,-3.1602249269457223,0.0004326867408675,'50.0 percentile dcj 0.878 cm us**-1'
r60um_tpl028,0.0019981952269651,-2.661951431168609,0.0003379023407902,'80.0 percentile dcj 0.881 cm us**-1'
r60um_tpl029,0.003728312409838,-3.102825784721467,0.0006469933376565,'85.0 percentile dcj 0.881 cm us**-1'
r60um_tpl030,0.0019887383179532,-3.129213383111535,0.0005605596069562,'70.0 percentile dcj 0.879 cm us**-1'
r60um_tpl031,0.003760181261509,-3.571838891570687,0.0004450843559426,'55.0 percentile dcj 0.878 cm us**-1'
r60um_tpl032,0.0012231215802801,-2.7132472337343283,0.0008032177623671,'50.0 percentile dcj 0.878 cm us**-1'
r60um_tpl033,0.003490264040278,-2.8878364897174613,0.0005743190959077,'90.0 percentile dcj 0.882 cm us**-1'
r60um_tpl034,0.000542213420869,-3.4170210653617836,0.0005733857781115,'70.0 percentile dcj 0.879 cm us**-1'
r60um_tpl035,0.0008569486994854,-3.5236720954531413,0.0006054619709805,'45.0 percentile dcj 0.877 cm us**-1'
r60um_tpl036,0.0044978419193961,-3.535693764056308,0.0003173281034668,'70.0 percentile dcj 0.879 cm us**-1'
r60um_tpl037,0.0025200238725195,-3.36104060145617,0.0009080713207806,'55.0 percentile dcj 0.878 cm us**-1'
r60um_tpl038,0.0039118283006929,-3.7160568460616488,0.0005333165040114,'60.0 percentile dcj 0.879 cm us**-1'
r60um_tpl039,0.0033352906704788,-2.615273216885723,0.0003456046256123,'75.0 percentile dcj 0.880 cm us**-1'
r60um_tpl040,0.0020536094554605,-3.5469286757278846,0.0006531178488418,'55.0 percentile dcj 0.878 cm us**-1'
r60um_tpl041,0.0014284750664292,-2.608013090814115,0.0004047968595426,'75.0 percentile dcj 0.880 cm us**-1'
r60um_tpl042,0.0006647528918525,-3.4893658804372083,0.0004139031902876,'55.0 percentile dcj 0.878 cm us**-1'
r60um_tpl043,0.0042129649294537,-3.2249761520833213,0.0007004875694917,'50.0 percentile dcj 0.878 cm us**-1'
r60um_tpl044,0.0017274251676,-3.706530180555641,0.0002782343350727,'75.0 percentile dcj 0.880 cm us**-1'
r60um_tpl045,0.001044185623614,-3.2536619078691698,0.000311410662238,'60.0 percentile dcj 0.879 cm us**-1'
r60um_tpl046,0.0013755204266997,-2.986351481420072,0.0008784251418406,'50.0 percentile dcj 0.878 cm us**-1'
r60um_tpl047,0.0017228506856039,-3.69592664142162,0.0005723479539234,'80.0 percentile dcj 0.881 cm us**-1'
r60um_tpl048,0.0033838836344153,-3.4104985166654544,0.000476047292205,'50.0 percentile dcj 0.878 cm us**-1'
r60um_tpl049,0.0036698013599303,-2.4136512852128327,0.0009021723652856,'50.0 percentile dcj 0.878 cm us**-1'
r60um_tpl050,0.0044668036828767,-3.43325324625754,0.0006307073818195,'85.0 percentile dcj 0.881 cm us**-1'
r60um_tpl051,0.0009384290196821,-2.983425776473264,0.0005713662062847,'55.0 percentile dcj 0.878 cm us**-1'
